"DIRECTORIO" "SECUENCIA_P" "HOGAR" "departamento" "hogar_urbano" "size" "n_mujeres" "n_menores" "seguridad_social" "no_acceso_medico" "n_analfabeto" "escolaridad_max" "escolaridad_min" "escolaridad_median" "ingreso_laboral" "valor_casa"
5019198 1 1 17 1 3 2 2 1 0 2 13 0 2 830000 NA
4930961 1 1 27 1 1 0 0 1 0 1 5 5 5 800000 NA
4903859 1 1 15 1 6 3 3 1 0 6 11 6 9 1528116 NA
4995240 1 1 11 1 1 0 0 1 0 1 16 16 16 6500000 NA
5093244 1 1 11 1 3 2 0 1 1 3 11 8 11 1428116 NA
5048547 1 1 44 1 3 3 2 1 0 3 16 6 9 1500000 NA
5028040 1 1 17 1 3 1 0 0.666666666666667 0 3 16 16 16 6000000 1.3e+08
5062041 1 1 54 1 5 2 3 1 0 4 7 0 3 620000 NA
5017349 1 1 15 1 1 0 0 1 0 1 16 16 16 2000000 NA
5067874 1 1 63 1 3 2 1 1 0 2 16 0 16 4740000 NA
4937380 1 1 20 1 6 4 1 0.833333333333333 0 6 11 5 11 1250000 NA
4968322 1 1 44 1 4 2 2 1 0 4 11 2 4.5 0 NA
4981790 1 1 70 1 7 4 1 1 0 7 15 5 11 2328116 NA
4827066 1 1 20 0 1 1 0 1 0 1 3 3 3 0 3e+06
4875222 1 1 41 1 5 2 2 1 0 5 11 5 9 160000 NA
5102245 1 1 18 1 2 1 0 1 0 2 16 13 14.5 0 NA
5088119 1 1 5 1 3 2 1 1 0 3 14 10 14 3700000 8e+07
4952519 1 1 76 1 3 2 0 1 0 3 13 11 11 1818000 NA
5022348 1 1 52 0 4 2 3 1 0 4 5 0 4 496000 4e+06
4844710 1 1 47 1 1 1 0 1 0 1 2 2 2 200000 NA
5056561 1 1 15 1 3 1 1 1 0 3 21 1 18 50500000 3e+08
4969754 1 1 20 1 3 1 1 1 0 NA 13 0 13 900000 NA
5059951 1 1 76 1 9 4 3 1 0 8 14 0 11 3930000 NA
4887641 1 1 52 1 2 1 0 1 0 2 20 18 19 9700000 NA
4948235 1 1 19 0 1 0 0 1 0 1 2 2 2 0 NA
4988465 1 1 13 1 5 2 3 1 0 4 14 0 8 3600000 NA
5047747 1 1 73 1 2 0 1 1 1 1 6 0 3 0 NA
4824052 1 1 76 1 4 2 2 0 0 NA 11 0 5.5 840000 NA
5055234 1 1 25 1 4 3 0 1 0 4 16 7 11 1500000 NA
4937028 1 1 17 1 4 2 1 1 0 4 14 7 11.5 4160000 NA
5049894 1 1 19 0 6 3 1 1 1 3 11 0 1 560000 NA
5005950 1 1 5 1 2 2 1 0.5 0 2 14 5 9.5 916000 NA
5082969 1 1 47 1 4 2 2 1 0 3 11 0 4 828116 NA
4955393 1 1 20 1 2 1 0 1 0 2 18 16 17 0 NA
4961811 1 1 17 1 4 2 2 1 0 NA 9 0 3 1200000 NA
4919757 1 1 63 1 5 1 2 1 0 4 11 0 8 1656000 NA
5066310 1 1 52 1 4 1 1 1 0 4 11 5 9 1200000 NA
4914346 1 1 27 1 3 2 1 1 0 2 11 0 9 400000 NA
4963355 1 1 66 1 3 2 0 1 0 3 14 7 10 900000 NA
4907628 1 1 76 1 2 2 0 1 1 2 11 10 10.5 611000 NA
5061784 2 2 41 1 3 2 1 1 0 3 8 4 5 800000 NA
5030618 1 1 5 1 3 1 0 1 0 3 12 11 11 2368116 NA
4838181 1 1 23 1 4 2 2 1 0 3 11 0 7.5 2100000 NA
4997146 1 1 68 1 1 0 0 1 0 1 5 5 5 800000 NA
4908977 1 1 19 1 3 1 1 1 0 3 13 5 9 1750000 NA
4880332 1 1 17 1 3 2 0 1 0 3 13 8 11 828116 NA
5056792 1 1 17 1 3 2 2 1 0 3 13 7 10 0 1.8e+08
4931953 1 1 54 1 2 1 0 1 0 1 2 0 1 0 NA
4927682 1 1 50 1 5 2 2 1 0 5 11 2 8 3000000 8e+07
5022156 1 1 41 0 3 2 0 1 0 3 5 1 3 70000 4e+06
4957174 1 1 63 1 3 1 1 1 0 NA 11 0 9 2000000 NA
4841365 1 1 15 0 1 1 0 1 0 1 3 3 3 0 3e+07
4925736 1 1 18 1 2 2 1 1 0 1 11 0 5.5 350000 NA
4887329 1 1 47 1 3 2 1 1 0 2 11 0 7 1860000 NA
4825953 1 1 13 1 1 0 0 1 0 1 11 11 11 828116 NA
5001561 1 1 50 1 1 0 0 1 0 1 13 13 13 800000 NA
5044633 1 1 19 1 6 2 3 1 0 5 11 0 9 828116 NA
4976039 1 1 11 1 1 1 0 1 0 1 11 11 11 0 4e+08
5099029 1 1 27 1 6 1 2 0.166666666666667 0 6 11 2 6.5 2490000 NA
4906882 1 1 44 1 6 5 3 1 0 4 16 0 4 2190148 NA
5018853 1 1 11 1 1 0 0 1 0 1 16 16 16 2100000 NA
5064787 1 1 52 1 3 2 2 1 0 3 11 5 9 350000 NA
4944499 1 1 76 1 2 2 1 1 0 2 11 4 7.5 464000 NA
4875147 1 1 25 0 3 2 0 1 0 3 14 11 14 0 NA
4920989 1 1 11 1 2 1 0 1 0 2 9 5 7 0 3e+08
4870674 1 1 17 1 2 2 1 1 0 NA 11 0 5.5 150000 NA
4844446 1 1 44 1 4 3 1 1 0 3 11 0 5.5 900000 3e+07
4882804 1 1 68 1 2 1 0 1 0 2 3 0 1.5 0 7e+07
